param,paramName,shortName,unit,encoding,isNemo,isIcon,stream,type,time,levtype,levelist
78,Total column cloud liquid water,tclw,kg m**-2,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
79,Total column cloud ice water,tciw,kg m**-2,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
134,Surface pressure,sp,Pa,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
137,Total column vertically-integrated water vapour,tcwv,kg m**-2,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
141,Snow depth,sd,m of water equivalent,instantaneous,IFS-NEMO,,clte,fc,Hourly,sfc,
148,Charnock,chnk,Numeric,instantaneous,IFS-NEMO,,clte,fc,Hourly,sfc,
151,Mean sea level pressure,msl,Pa,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
159,Boundary layer height,blh,m,instantaneous,IFS-NEMO,,clte,fc,Hourly,sfc,
164,Total cloud cover,tcc,(0 - 1),instantaneous,IFS-NEMO,,clte,fc,Hourly,sfc,
165,10 metre U wind component,10u,m s**-1,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
166,10 metre V wind component,10v,m s**-1,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
167,2 metre temperature,2t,K,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
168,2 metre dewpoint temperature,2d,K,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
186,Low cloud cover,lcc,(0 - 1),instantaneous,IFS-NEMO,,clte,fc,Hourly,sfc,
187,Medium cloud cover,mcc,(0 - 1),instantaneous,IFS-NEMO,,clte,fc,Hourly,sfc,
188,High cloud cover,hcc,(0 - 1),instantaneous,IFS-NEMO,,clte,fc,Hourly,sfc,
235,Skin temperature,skt,K,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
228164,Total cloud cover,tcc,%,instantaneous,,ICON,clte,fc,Hourly,sfc,
260048,Total precipitation rate,tprate,kg m**-2 s**-1,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,sfc,
129,Geopotential,z,m**2 s**-2,instantaneous,IFS-NEMO,ICON,clte,fc,Daily,sfc,
172,Land-sea mask,lsm,(0 - 1),instantaneous,IFS-NEMO,ICON,clte,fc,Daily,sfc,
60,Potential vorticity,pv,K m**2 kg**-1 s**-1,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,pl,1000/925/850/700/600/500/400/300/250/200/150/100/70/50/30/20/10/5/1
129,Geopotential,z,m**2 s**-2,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,pl,1000/925/850/700/600/500/400/300/250/200/150/100/70/50/30/20/10/5/1
130,Temperature,t,K,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,pl,1000/925/850/700/600/500/400/300/250/200/150/100/70/50/30/20/10/5/1
131,U component of wind,u,m s**-1,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,pl,1000/925/850/700/600/500/400/300/250/200/150/100/70/50/30/20/10/5/1
132,V component of wind,v,m s**-1,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,pl,1000/925/850/700/600/500/400/300/250/200/150/100/70/50/30/20/10/5/1
133,Specific humidity,q,kg kg**-1,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,pl,1000/925/850/700/600/500/400/300/250/200/150/100/70/50/30/20/10/5/1
135,Vertical velocity,w,Pa s**-1,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,pl,1000/925/850/700/600/500/400/300/250/200/150/100/70/50/30/20/10/5/1
157,Relative humidity,r,%,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,pl,1000/925/850/700/600/500/400/300/250/200/150/100/70/50/30/20/10/5/1
246,Specific cloud liquid water content,clwc,kg kg**-1,instantaneous,IFS-NEMO,ICON,clte,fc,Hourly,pl,1000/925/850/700/600/500/400/300/250/200/150/100/70/50/30/20/10/5/1
28141,Snow depth water equivalent,sd,kg m**-2,instantaneous,IFS-NEMO,,clte,fc,Hourly,sol,1/2/3/4/5
228246,100 metre U wind component,100u,m s**-1,instantaneous,IFS-NEMO,,clte,fc,Hourly,hl,100
228247,100 metre V wind component,100v,m s**-1,instantaneous,IFS-NEMO,,clte,fc,Hourly,hl,100
263000,Time-mean sea ice thickness,avg_sithick,m,mean,IFS-NEMO,ICON,clte,fc,Daily,sfc,
263001,Time-mean sea ice area fraction,avg_siconc,Fraction,mean,IFS-NEMO,ICON,clte,fc,Daily,sfc,
263003,Time-mean eastward sea ice velocity,avg_siue,m s**-1,mean,IFS-NEMO,ICON,clte,fc,Daily,sfc,
263004,Time-mean northward sea ice velocity,avg_sivn,m s**-1,mean,IFS-NEMO,ICON,clte,fc,Daily,sfc,
263008,Time-mean sea ice volume per unit area,avg_sivol,m**3 m**-2,mean,IFS-NEMO,,clte,fc,Daily,sfc,
263009,Time-mean snow volume over sea ice per unit area,avg_snvol,m**3 m**-2,mean,IFS-NEMO,ICON,clte,fc,Daily,sfc,
263021,Time-mean X-component of sea ice velocity,avg_six,m s**-1,mean,IFS-NEMO,,clte,fc,Daily,sfc,
263022,Time-mean Y-component of sea ice velocity,avg_siy,m s**-1,mean,IFS-NEMO,,clte,fc,Daily,sfc,
